jobname,location,pay (USD),applicants
.NET Core Developer,"Cordoba, Córdoba, Argentina",9000,8
.NET Core Developer,"Mexico City, Mexico",9000,9
.NET Core Developer,Venezuela,9000,10
.NET Core Developer,"Bogota, D.C., Capital District, Colombia",9000,7
.NET Developer,"Cordoba, Córdoba, Argentina",9000,0
.NET Developer,"Mexico City, Mexico",9000,0
.NET Developer,"Monterrey, Nuevo León, Mexico",9000,24
.NET Developer,"Bogota, D.C., Capital District, Colombia",9000,0
.NET Developer,Venezuela,9000,21
AWS Developer,"Cordoba, Córdoba, Argentina",9000,3
AWS Developer,"Bogota, D.C., Capital District, Colombia",9000,11
AWS Developer,Venezuela,9000,6
AWS Developer,"Guadalajara, Jalisco, Mexico",9000,3
AWS Developer,"Mexico City, Mexico",9000,2
AWS Developer,Peru,9000,5
Android Developer,"Cordoba, Córdoba, Argentina",9000,9
Android Developer,Costa Rica,9000,19
Android Developer,"Mexico City, Mexico",9000,16
Android Developer,"Monterrey, Nuevo León, Mexico",9000,9
Android Developer,"Bogota, D.C., Capital District, Colombia",9000,14
Android Developer,Venezuela,9000,8
Android Developer,Peru,9000,12
Android Developer,"Cerro Largo, Uruguay",9000,9
Angular.JS Developer,"Cordoba, Córdoba, Argentina",9000,10
Angular.JS Developer,"Guadalajara, Jalisco, Mexico",9000,14
Angular.JS Developer,"Mexico City, Mexico",9000,9
Angular.JS Developer,Venezuela,9000,5
Angular.JS Developer,"Bogota, D.C., Capital District, Colombia",9000,13
Backend Developer,"Cordoba, Córdoba, Argentina",9000,24
Backend Developer,"Bogota, D.C., Capital District, Colombia",9000,21
Backend Developer,Peru,9000,24
Backend Developer,"Mexico City, Mexico",9000,4
Backend Developer,Venezuela,9000,5
C# Developer,"Cordoba, Córdoba, Argentina",9000,0
C# Developer,"Mexico City, Mexico",9000,0
C# Developer,"Bogota, D.C., Capital District, Colombia",9000,0
C# Developer,Venezuela,9000,7
Django Developer,"Cordoba, Córdoba, Argentina",9000,12
Django Developer,"Mexico City, Mexico",9000,10
Django Developer,"Bogota, D.C., Capital District, Colombia",9000,7
Django Developer,Costa Rica,9000,6
Django Developer,Venezuela,9000,7
Django Developer,"Cerro Largo, Uruguay",9000,14
Django Developer,Peru,9000,3
Firebase Developer,"Cordoba, Córdoba, Argentina",9000,7
Firebase Developer,"Mexico City, Mexico",9000,3
Firebase Developer,Venezuela,9000,2
Firebase Developer,"Bogota, D.C., Capital District, Colombia",9000,0
Flutter Developer,"Cordoba, Córdoba, Argentina",9000,9
Flutter Developer,"Mexico City, Mexico",9000,18
Flutter Developer,"Monterrey, Nuevo León, Mexico",9000,24
Flutter Developer,"Bogota, D.C., Capital District, Colombia",9000,17
Flutter Developer,Costa Rica,9000,15
Flutter Developer,Venezuela,9000,8
Flutter Developer,Peru,9000,10
Flutter Developer,"Cerro Largo, Uruguay",9000,5
Front End Developer,"Cordoba, Córdoba, Argentina",9000,0
Front End Developer,Argentina,9000,0
Front End Developer,Venezuela,9000,0
Front End Developer,"Ciudad Juárez, Chihuahua, Mexico",9000,0
Front End Developer,"Mexico City, Mexico",9000,0
Front End Developer,Costa Rica,9000,0
Front End Developer,"Cerro Largo, Uruguay",9000,0
Front End Developer,"Mexico City, Mexico",9000,0
Front End Developer,Peru,9000,0
Full Stack Developer,"Cordoba, Córdoba, Argentina",9000,18
Full Stack Developer,"Bogota, D.C., Capital District, Colombia",9000,8
Full Stack Developer,Venezuela,9000,8
Full Stack Developer,"Mexico City, Mexico",9000,7
Full Stack Developer,Peru,9000,11
Go Developer,"Cordoba, Córdoba, Argentina",9000,17
Go Developer,"Mexico City, Mexico",9000,8
Go Developer,"Bogota, D.C., Capital District, Colombia",9000,10
Go Developer,Venezuela,9000,8
GraphQL Developer,"Cordoba, Córdoba, Argentina",9000,2
GraphQL Developer,"Mexico City, Mexico",9000,2
GraphQL Developer,"Bogota, D.C., Capital District, Colombia",9000,3
GraphQL Developer,Peru,9000,4
GraphQL Developer,Venezuela,9000,2
Java Developer,"Cordoba, Córdoba, Argentina",9000,0
Java Developer,"Bogota, D.C., Capital District, Colombia",9000,0
Java Developer,"Mexico City, Mexico",9000,0
Java Developer,Venezuela,9000,4
Javascript Developer,"Cordoba, Córdoba, Argentina",9000,0
Javascript Developer,"Monterrey, Nuevo León, Mexico",9000,18
Javascript Developer,"Bogota, D.C., Capital District, Colombia",9000,0
Javascript Developer,"Mexico City, Mexico",9000,10
Javascript Developer,Venezuela,9000,21
Javascript Developer,"Guadalajara, Jalisco, Mexico",9000,12
Javascript Developer,Peru,9000,9
Laravel Developer,"Cordoba, Córdoba, Argentina",9000,0
Laravel Developer,"Mexico City, Mexico",9000,16
Laravel Developer,"Bogota, D.C., Capital District, Colombia",9000,0
Laravel Developer,Venezuela,9000,0
Mobile Developer,"Cordoba, Córdoba, Argentina",9000,15
Mobile Developer,"Mexico City, Mexico",9000,10
Mobile Developer,"Bogota, D.C., Capital District, Colombia",9000,8
Mobile Developer,Venezuela,9000,7
Node.JS Developer,"Cordoba, Córdoba, Argentina",9000,0
Node.JS Developer,"Mexico City, Mexico",9000,22
Node.JS Developer,Costa Rica,9000,0
Node.JS Developer,"Bogota, D.C., Capital District, Colombia",9000,0
Node.JS Developer,Venezuela,9000,15
Node.JS Developer,"Cerro Largo, Uruguay",9000,21
Node.JS Developer,Peru,9000,12
PHP Developer,"Cordoba, Córdoba, Argentina",9000,23
